RandomEvnetPos	10	290028|270021|190027|110022|100030|230008|150027|40012|160023|100008|80016|130015|20013|270015|240026|160010|60011|150007|70026
BattlePos4	15	300016|290025|120026|80011|90024|180008|110014|230029|110019|260010|170027|130009
BattlePos	7	170021|230018|210021|160016
GoHomePos	12	140011
BattlePos6	17	170005|230005|320026|270006|100005|190030|320020|300031|60008
BattlePos3	14	210026|250013|240022|130023|270018
RechargePos	6	270029|80020
BattlePos7	18	30009
PKEnterPos	3	300013
BattlePos5	16	80029|50015|50020|50025|130030
BattlePos2	13	220015|180012|190024|150019
BronPos	1	190018
GoToNextLvlPos	11	210011
RandomChestPos	8	170026|40007
ScrectShopPos	4	260024
