RandomEvnetPos	10	270026|80007|50018|180029|230025|270009|80018|270013|120013|120008|300019|260020|180025|140019|120005|160009
BattlePos2	13	190009|100016|240026|160025|270018|120021|130011|240009
BattlePos3	14	90012|280023|290012|200027|150007|80021
RechargePos	6	110024|210006
BattlePos4	15	160004|250029|100027|280006|300027|310018|150028|60015
PKEnterPos	3	240006
ScrectShopPos	4	70009
BattlePos	7	130016|200023|170012|160021|230017|250013|210012|240022
BattlePos5	16	40021
RandomChestPos	8	300008|50028
GoHomePos	12	150014
BronPos	1	190017
GoToNextLvlPos	11	220021
