RandomEvnetPos	10	250018|230008|130026|130013|30025|140019|170026|50019|50026|300019|100010|260024|50029|190010|210026|270009|80015|80024
BattlePos5	16	140006|120009|70012|90008|170008
BattlePos4	15	190028|230028|70021|110025|160028
BronPos	1	180018
BattlePos6	17	230006|310011|260006|290008|310014
BattlePos	7	230023|160021|190013|160015|230016
PKEnterPos	3	270027
BattlePos3	14	230011|270017|200008|270021|270013
GoToNextLvlPos	11	210021
BattlePos7	18	120032|80029|40023|40018|60026
RechargePos	6	250011|90019
BattlePos2	13	120021|120016|100013|150024|190024
GoHomePos	12	210018
ScrectShopPos	4	150011
RandomChestPos	8	110008|110028
BattlePos8	19	30028
