BattlePos9	20	190003|40029|250004|280006|140004
BattlePos2	13	170012|240015|240022|120019|180025
BattlePos	7	230019|140015|200023|150022|210014
RandomEvnetPos	10	50024|300009|60018|260023|290019|190006|200009|90024|150011|250026|100014|260007|50012|110005|170027|80012
BattlePos4	15	120011|90017|290023|130026|180009
BattlePos5	16	70022|100026|80009|70014|270010
BronPos	1	170018
RechargePos	6	230008|150028
BattlePos8	19	320021|310027|270031|310012|310017
PKEnterPos	3	270026
ScrectShopPos	4	110022
BattlePos7	18	40015|40020|40009|70005|70027
BattlePos3	14	260019|220011|210027|280015
BattlePos6	17	220006|190030|170006|110030|140008
GoToNextLvlPos	11	190013
BattlePos10	21	290003
GoHomePos	12	250013
RandomChestPos	8	110008|240029
